CodiceVia;DUG;DUF;CAP;QuartiereSobborgo;Civico;Esponente;InizioValidita;SezCensimento;CoordX;CoordY
55909;Via;Dazio;15122;Valle San Bartolomeo;90;H;2010-11-22;131;1472210.82998134;4978439.947517
55606;Strada;Cerca Di Valle San Bartolomeo;15122;Valle San Bartolomeo;70;;2010-11-22;12;1472168.89433092;4977263.03063124
55606;Strada;Cerca Di Valle San Bartolomeo;15122;Valle San Bartolomeo;70;A;2010-11-22;12;1472170.73052055;4977261.16808759
57404;Via;Bartolomeo Maino;15122;Valle San Bartolomeo;105;;2010-11-22;147;1471648.47114509;4977404.27755007
45706;Via;Ca Da Po;15122;San Giuliano Nuovo;2;D;2010-11-11;1105;1480773.17625357;4971654.00414425
19602;Via;Modena;15121;Centro;8;;2001-08-31;473;1469563.74181585;4973246.15339345
27005;Via;San Lorenzo;15121;Centro;46;;2001-08-31;473;1469538.20497106;4973246.99954218
19602;Via;Modena;15121;Centro;10;;2001-08-31;473;1469560.33892118;4973248.3318709
19602;Via;Modena;15121;Centro;12;;2001-08-31;473;1469557.16270357;4973250.31483356
19602;Via;Modena;15121;Centro;14;;2001-08-31;473;1469552.94265162;4973252.9028229
27005;Via;San Lorenzo;15121;Centro;44;;2001-08-31;473;1469543.04619888;4973257.0989351
15202;Via;Isonzo;15121;Centro;20;;2001-08-31;477;1470355.29041606;4973182.75383226
15202;Via;Isonzo;15121;Centro;18;;2001-08-31;477;1470343.58967647;4973187.31033926
15202;Via;Isonzo;15121;Centro;14;;2001-08-31;477;1470335.71457116;4973190.40234167
9306;Via;Giulio Cesare Cordara;15121;Centro;9;;2001-08-31;477;1470369.33737372;4973191.28539415
15202;Via;Isonzo;15121;Centro;10;;2001-08-31;477;1470329.34474917;4973192.88199346
15202;Via;Isonzo;15121;Centro;8;;2001-08-31;477;1470323.679243;4973194.42635134
15202;Via;Isonzo;15121;Centro;6;;2001-08-31;477;1470317.3783797;4973196.84398292
9306;Via;Giulio Cesare Cordara;15121;Centro;7;;2001-08-31;477;1470372.78676833;4973198.34299728
15202;Via;Isonzo;15121;Centro;4;;2001-08-31;477;1470314.03825589;4973198.15482672
9306;Via;Giulio Cesare Cordara;15121;Centro;5;;2001-08-31;477;1470374.41037087;4973201.98425485
31204;Via;Trotti;15121;Centro;86;;2001-08-31;480;1469373.83830139;4973173.96893497
25401;Corso;Roma;15121;Centro;65;;2001-08-31;480;1469437.36610259;4973176.34197368
31204;Via;Trotti;15121;Centro;84;;2001-08-31;480;1469375.78360965;4973179.16990838
25401;Corso;Roma;15121;Centro;63;;2001-08-31;480;1469438.26654183;4973179.25976363
31204;Via;Trotti;15121;Centro;82;;2001-08-31;480;1469376.98475661;4973182.63839393
25401;Corso;Roma;15121;Centro;61;;2001-08-31;480;1469439.33959079;4973182.69607252
25401;Corso;Roma;15121;Centro;59;;2001-08-31;480;1469440.14015255;4973185.25620653
31204;Via;Trotti;15121;Centro;80;;2001-08-31;480;1469379.48980889;4973190.3155499
25401;Corso;Roma;15121;Centro;57;;2001-08-31;480;1469441.70911969;4973190.45068781
31204;Via;Trotti;15121;Centro;78;;2001-08-31;480;1469381.53162684;4973196.69843731
25401;Corso;Roma;15121;Centro;55;;2001-08-31;480;1469443.83722221;4973197.31056476
31204;Via;Trotti;15121;Centro;76;;2001-08-31;480;1469383.05062481;4973201.28961638
31204;Via;Trotti;15121;Centro;74;;2001-08-31;480;1469384.51876093;4973205.70404699
25401;Corso;Roma;15121;Centro;51;;2001-08-31;480;1469447.62550641;4973209.57709417
31204;Via;Trotti;15121;Centro;72;;2001-08-31;480;1469385.93489909;4973210.05028988
31204;Via;Trotti;15121;Centro;70;;2001-08-31;480;1469386.92389515;4973213.1242766
31204;Via;Trotti;15121;Centro;68;;2001-08-31;480;1469388.8268625;4973218.90694558
31204;Via;Trotti;15121;Centro;66;;2001-08-31;480;1469390.48639497;4973223.90678444
3201;Via;Bergamo;15121;Centro;46;;2001-08-31;480;1469420.57599349;4973226.47454672
31204;Via;Trotti;15121;Centro;64;;2001-08-31;480;1469391.72347185;4973227.66579316
3201;Via;Bergamo;15121;Centro;48;;2001-08-31;480;1469415.6474667;4973228.35113976
3201;Via;Bergamo;15121;Centro;50;;2001-08-31;480;1469411.09065538;4973229.92663961
3201;Via;Bergamo;15121;Centro;52;;2001-08-31;480;1469407.37575263;4973231.14208956
31204;Via;Trotti;15121;Centro;62;;2001-08-31;480;1469393.09905444;4973231.86296032
3201;Via;Bergamo;15121;Centro;54;;2001-08-31;480;1469401.84639876;4973233.10403393
3201;Via;Bergamo;15121;Centro;56;;2001-08-31;480;1469396.68575776;4973234.89679724
8404;Corso;Cento Cannoni;15121;Centro;4;;2001-08-31;481;1469632.90355519;4972944.84803838
8404;Corso;Cento Cannoni;15121;Centro;2;;2001-08-31;481;1469589.77798719;4972945.78609145
8404;Corso;Cento Cannoni;15121;Centro;6;;2001-08-31;481;1469673.86665292;4972948.69034935
15501;Via;Giovanni Lanza;15121;Centro;6;;2001-08-31;481;1469588.38826392;4972965.25463349
15501;Via;Giovanni Lanza;15121;Centro;4;A;2003-04-28;481;1469592.18571827;4972987.8088481
8305;Via;Camillo Cavour;15121;Centro;63;;2001-08-31;481;1469690.44256204;4972999.64541539
15501;Via;Giovanni Lanza;15121;Centro;4;;2001-08-31;481;1469594.46636574;4973001.60013726
8305;Via;Camillo Cavour;15121;Centro;61;;2001-08-31;481;1469693.29971137;4973010.32364326
8305;Via;Camillo Cavour;15121;Centro;59;;2001-08-31;481;1469687.78776455;4973016.60440123
8305;Via;Camillo Cavour;15121;Centro;57;;2001-08-31;481;1469688.44054901;4973019.89459644
15501;Via;Giovanni Lanza;15121;Centro;2;;2001-08-31;481;1469597.65485755;4973020.80325229
8305;Via;Camillo Cavour;15121;Centro;55;;2001-08-31;481;1469689.34916429;4973023.70308742
8305;Via;Camillo Cavour;15121;Centro;53;;2001-08-31;481;1469690.26315587;4973027.2674943
8305;Via;Camillo Cavour;15121;Centro;51;;2001-08-31;481;1469691.66945438;4973033.57990144
